CustomerID,Lookalikes
C0001,"[('C0190', 0.9677975503165056), ('C0048', 0.9411187879989044), ('C0152', 0.9171801150949802)]"
C0002,"[('C0088', 0.9666085835484678), ('C0134', 0.9413046040508691), ('C0043', 0.9330147173555013)]"
C0003,"[('C0052', 0.9911064938188161), ('C0152', 0.9587775224626204), ('C0031', 0.9294706749332425)]"
C0004,"[('C0067', 0.9878592548627728), ('C0113', 0.9855039524936003), ('C0165', 0.971363079130593)]"
C0005,"[('C0186', 0.9808330219101232), ('C0146', 0.9630562258243802), ('C0159', 0.9373914098819526)]"
C0006,"[('C0168', 0.972146065770377), ('C0171', 0.9583150007495178), ('C0183', 0.9577248739996171)]"
C0007,"[('C0140', 0.9760583350819196), ('C0115', 0.939675729321758), ('C0080', 0.9327102372484505)]"
C0008,"[('C0154', 0.9084311607099437), ('C0124', 0.8176336460609844), ('C0109', 0.795172790991704)]"
C0009,"[('C0010', 0.988110360292185), ('C0198', 0.937340768520882), ('C0033', 0.9343280823757723)]"
C0010,"[('C0009', 0.988110360292185), ('C0111', 0.9510352677434537), ('C0121', 0.9448897378643375)]"
C0011,"[('C0137', 0.9724802954791621), ('C0169', 0.9401677763958867), ('C0126', 0.9380895209250907)]"
C0012,"[('C0104', 0.9665524949257922), ('C0195', 0.9369031625230246), ('C0039', 0.9210382647521423)]"
C0013,"[('C0099', 0.9859308718712476), ('C0188', 0.9535725871429821), ('C0087', 0.9457491119963963)]"
C0014,"[('C0060', 0.9765587898050888), ('C0180', 0.9717726786721268), ('C0097', 0.965691523966483)]"
C0015,"[('C0036', 0.9811313188922315), ('C0131', 0.974914016885348), ('C0144', 0.9137195914507626)]"
C0016,"[('C0183', 0.999609097952932), ('C0171', 0.9951220546284639), ('C0187', 0.977555704211682)]"
C0017,"[('C0075', 0.9698096953625172), ('C0175', 0.9513920603721286), ('C0021', 0.9206568566817733)]"
C0018,"[('C0117', 0.9376626342620559), ('C0171', 0.9352373308314132), ('C0168', 0.9159809787233582)]"
C0019,"[('C0121', 0.894026902019056), ('C0103', 0.8842131082365948), ('C0111', 0.8702309013470005)]"
C0020,"[('C0042', 0.8918301348396849), ('C0176', 0.8896483541485865), ('C0130', 0.8227091774697548)]"
